,timestamp,Ask,Bid,By on,Profits by Link,Volume,Total Profits in USDT,Cumulative of Total Profits in USDT
0,2021-08-20 00:00:01,27.0947,27.095,Huobi,0.0002999999999993008,2.99,0.0008969999999979096,0.0008969999999979096
1,2021-08-20 00:00:02,27.0938,27.095,Huobi,0.0011999999999972033,32.18,0.03861599999991,0.039512999999907907
2,2021-08-20 00:00:02,27.0947,27.095,Huobi,0.0002999999999993008,2.99,0.0008969999999979096,0.04040999999990581
3,2021-08-20 00:00:04,27.0924,27.093,Huobi,0.0005999999999986017,1.079,0.0006473999999984911,0.04105739999990431
4,2021-08-20 00:00:08,27.095,27.0956,Binance,0.0006000000000021544,0.37,0.0002220000000007971,0.041279399999905105
5,2021-08-20 00:00:15,27.0886,27.094,Huobi,0.005400000000001626,20.0,0.10800000000003251,0.1492793999999376
6,2021-08-20 00:00:15,27.0886,27.089,Huobi,0.00039999999999906777,7.609999999999999,0.0030439999999929057,0.15232339999993053
7,2021-08-20 00:00:17,27.1131,27.122,Huobi,0.008900000000000574,0.738,0.006568200000000424,0.15889159999993094
8,2021-08-20 00:00:18,27.1117,27.113,Huobi,0.001300000000000523,24.0,0.03120000000001255,0.1900915999999435
9,2021-08-20 00:00:18,27.1117,27.112,Huobi,0.0002999999999993008,3.6099999999999994,0.0010829999999974757,0.19117459999994096
10,2021-08-20 00:00:18,27.1118,27.112,Huobi,0.00019999999999953388,27.61,0.00552199999998713,0.19669659999992808
11,2021-08-20 00:00:31,27.0976,27.1,Huobi,0.002400000000001512,17.59,0.04221600000002659,0.23891259999995468
12,2021-08-20 00:00:33,27.1112,27.116,Huobi,0.004799999999999471,6.431148750331966,0.030869514001590034,0.2697821140015447
13,2021-08-20 00:00:39,27.1066,27.108,Huobi,0.00140000000000029,3.697,0.0051758000000010716,0.2749579140015458
14,2021-08-20 00:00:39,27.1066,27.107,Huobi,0.00039999999999906777,3.687,0.0014747999999965627,0.27643271400154235
15,2021-08-20 00:00:42,27.1041,27.106,Huobi,0.0019000000000026773,11.84,0.0224960000000317,0.29892871400157406
16,2021-08-20 00:00:48,27.0839,27.086,Huobi,0.0020999999999986585,7.04,0.014783999999990556,0.31371271400156464
17,2021-08-20 00:00:54,27.054,27.0551,Binance,0.001100000000000989,2.81,0.0030910000000027795,0.3168037140015674
18,2021-08-20 00:01:21,27.043,27.045,Huobi,0.0020000000000024443,0.43,0.000860000000001051,0.31766371400156845
19,2021-08-20 00:01:34,27.0117,27.012,Huobi,0.0002999999999993008,1.0,0.0002999999999993008,0.31796371400156775
20,2021-08-20 00:01:48,26.9563,26.957,Huobi,0.0007000000000019213,1.54,0.0010780000000029588,0.3190417140015707
21,2021-08-20 00:01:48,26.9564,26.957,Huobi,0.0006000000000021544,2.168,0.0013008000000046707,0.3203425140015754
22,2021-08-20 00:01:53,26.9882,26.99,Huobi,0.0017999999999993577,1.93,0.00347399999999876,0.32381651400157413
23,2021-08-20 00:02:14,26.9253,26.926,Huobi,0.0006999999999983686,0.33,0.00023099999999946164,0.3240475140015736
24,2021-08-20 00:02:49,27.0318,27.032,Huobi,0.00019999999999953388,0.74,0.00014799999999965508,0.32419551400157326
25,2021-08-20 00:02:59,27.062,27.0628,Binance,0.0007999999999981355,17.08,0.013663999999968153,0.3378595140015414
26,2021-08-20 00:02:59,27.062,27.0637,Binance,0.0016999999999995907,22.0,0.037399999999990996,0.3752595140015324
27,2021-08-20 00:03:16,27.098,27.0992,Binance,0.001200000000000756,1.55,0.001860000000001172,0.3771195140015336
28,2021-08-20 00:03:28,27.078,27.0791,Binance,0.001100000000000989,5.48,0.0060280000000054205,0.383147514001539
29,2021-08-20 00:03:28,27.078,27.079,Binance,0.0010000000000012221,2.5,0.0025000000000030553,0.38564751400154207
30,2021-08-20 00:03:28,27.078,27.0789,Binance,0.0009000000000014552,12.02,0.01081800000001749,0.39646551400155955
31,2021-08-20 00:03:31,27.067,27.0704,Binance,0.0033999999999991815,0.61,0.0020739999999995007,0.39853951400155907
32,2021-08-20 00:03:31,27.067,27.0686,Binance,0.0015999999999998238,3.76,0.006015999999999337,0.4045555140015584
33,2021-08-20 00:03:34,27.118,27.1183,Binance,0.00030000000000285354,20.697,0.006209100000059059,0.41076461400161746
34,2021-08-20 00:03:36,27.103,27.1092,Binance,0.006199999999999761,0.67,0.00415399999999984,0.4149186140016173
35,2021-08-20 00:03:54,27.054,27.0556,Binance,0.0015999999999998238,0.6,0.0009599999999998942,0.4158786140016172
36,2021-08-20 00:03:54,27.054,27.0551,Binance,0.001100000000000989,0.17800000000000005,0.00019580000000017612,0.4160744140016174
37,2021-08-20 00:03:55,27.054,27.0557,Binance,0.0017000000000031434,0.078,0.0001326000000002452,0.41620701400161764
38,2021-08-20 00:03:56,27.054,27.0551,Binance,0.001100000000000989,2.81,0.0030910000000027795,0.4192980140016204
39,2021-08-20 00:03:57,27.0541,27.059,Huobi,0.004900000000002791,2.28,0.011172000000006363,0.43047001400162677
